page_url,domain,url_matched_for_gallery_page,url_matched_for_page_with_gallery,number_of_images_by_img_src,number_of_images_by_a_href,has_match,total_img_elements_found
https://www.modernibyt.cz/rubriky/navstevy/prosvetleny-viceurovnovy-byt-v-norsku_5502.html,www.modernibyt.cz,False,True,35,14,True,41
http://www.fotografovani.cz/cz/photo-contest/gallery/1443/,www.fotografovani.cz,True,False,0,0,True,71
https://lepsija.cz/domaci-mazlicci/,lepsija.cz,False,False,40,0,True,81
https://www.extra.cz/kdo-na-sebe-strhl-pozornost-na-rude-party-ve-varech-a-kdo-byl-totalne-out-alenka-safratova-hvezdy-zhodnotila,www.extra.cz,False,False,0,44,True,78
https://www.frekvence1.cz/tag/chutovky-frekvence-1,www.frekvence1.cz,False,False,28,1,True,108
https://www.blesk.cz/clanek/celebrity-ceske-celebrity/610604/gottuv-tajny-mejdan-dirigovala-ivana-zasahovala-sanitka-krajco-v-pantoflich-za-20-tisic-dorazili-bohdalova-bila-i-jagr.html,www.blesk.cz,False,False,0,227,True,450
https://www.reflex.cz/clanek/kultura/76156/gott-vs-ortel-prenos-ceskeho-slavika-zive-komentovali-milan-tesar-a-jxd.html,www.reflex.cz,False,False,0,8,True,183
https://www.sport.cz/tenis/wimbledon/clanek/1122386-naprosta-dominance-gigantu-ve-wimbledonu-famozni-serie-svetove-jednicky-skoncila.html,www.sport.cz,False,False,1,0,True,86
https://prozeny.blesk.cz/clanek/pro-zeny-trendy-moda/606437/zmeni-vasi-postavu-a-udela-z-vas-bohyni-staci-jen-vybrat-si-to-spravne-pradlo.html,prozeny.blesk.cz,False,False,0,7,True,54
https://www.televizeseznam.cz/video/duel/polepsovna-za-pet-tisic-mesicne-poptavka-od-rodicu-je-velka-haji-kontroverzni-navrh-poslankyne-63918387?zobraz=nabidku,www.televizeseznam.cz,True,False,0,0,True,161
https://emefka.sk/otestuj-sa-dokazes-uhadnut-vyznamy-tychto-15-ceskych-slov/,emefka.sk,False,False,84,5,True,237
https://www.fashionmagazin.cz/5-stylovych-panskych-alternativ-k-zabkam/,www.fashionmagazin.cz,False,False,21,2,True,105
https://videacesky.cz/video/problemy-elektronickych-voleb,videacesky.cz,True,False,0,0,True,100
https://www.recepty.cz/recept/misa-rezy-1925,www.recepty.cz,False,False,0,11,True,720
https://shop.emefka.sk/sk/emefka/?lang=french,shop.emefka.sk,False,False,0,9,True,54
https://www.sme.sk/g/131524/sme-sk-pre-android-telefony-a-tablety?gref=strm_art-6662272&photo=p4344132,www.sme.sk,True,False,0,17,True,8
https://www.vitalia.cz/clanky/syrove-brambory-leci-zelene-jsou-jedovate/?ic=articles-related&icc=item-7,www.vitalia.cz,False,False,0,5,True,86
https://fotky.sme.sk/fotka/56016/jozef,fotky.sme.sk,True,False,0,0,True,63
https://www.jenzeny.cz/redaktorky/2033,www.jenzeny.cz,False,False,1,0,True,36
https://www.kafe.cz/celebrity/ucme-se-od-techto-vip-paru-ktere-jsou-spolu-uz-desitky-let-jak-to-delaji-20180828.html,www.kafe.cz,False,False,0,12,True,39
https://www.lifee.cz/cestovani/pet-nejlepsich-evropskych-hudebnich-festivalu-zkuste-belgicky-rock-werchter-nebo-dansky-roskilde_70542.html,www.lifee.cz,False,False,0,52,True,54
https://www.modernibyt.cz/rubriky/interier/koncept-7-pravidel-pro-ukladani_5518.html,www.modernibyt.cz,False,True,38,13,True,41
http://www.fotografovani.cz/cz/photo-contest/gallery/543/,www.fotografovani.cz,True,False,0,0,True,71
https://lepsija.cz/author/simona/page/2/,lepsija.cz,False,False,40,0,True,81
https://www.extra.cz/celebrity-ve-varech-vkrocily-na-rudy-koberec-gibson-je-oranzovy-mares-vyvezl-faltynovou,www.extra.cz,False,False,0,33,True,77
https://www.frekvence1.cz/tag/hairstyle-s-ellie,www.frekvence1.cz,False,False,28,1,True,108
https://www.blesk.cz/clanek/digital-pocitace-a-hry/549683/budete-plakat-nad-tim-jak-jsou-tyhle-stare-rezby-dobre-recenze-devil-may-cry-hd-collection.html,www.blesk.cz,False,False,0,365,True,410
https://www.reflex.cz,www.reflex.cz,False,False,0,36,True,108
https://www.sport.cz/fotbal/pohar/clanek/1108009-napadeny-sudi-promluvil-rana-prisla-zcistajasna-byl-jsem-v-soku.html,www.sport.cz,False,False,12,0,True,81
https://prozeny.blesk.cz/clanek/pro-zeny-vip-ze-zivota-hvezd/578889/ikona-stylu-cindy-crawford-budte-jako-ona-vime-kde-nakoupit.html,prozeny.blesk.cz,False,False,0,7,True,54
https://www.televizeseznam.cz/video/detektor-pravdy/cinsky-pornoherec-si-jako-prvni-nechal-transplantovat-konsky-penis-63927757?zobraz=nabidku,www.televizeseznam.cz,True,False,0,0,True,161
https://emefka.sk/otestuj-sa-uhadnes-ake-mnozstvo-vody-sa-spotrebuje-na-vyrobu-tvojich-oblubenych-potravin/,emefka.sk,False,False,84,5,True,237
https://www.fashionmagazin.cz/converse-2013-collection-vcetne-prisernych-kousku-ktere-nemely-spatrit-svetlo-sveta/,www.fashionmagazin.cz,False,False,51,2,True,99
https://videacesky.cz/video/obama-cte-urazlive-tweet,videacesky.cz,True,False,0,0,True,99
https://www.recepty.cz/recept/rychla-babovka-2-3875,www.recepty.cz,False,False,0,15,True,598
https://shop.emefka.sk/sk/emefka/?lang=polish,shop.emefka.sk,False,False,0,9,True,54
https://www.sme.sk/g/84512/nove-funkcie-aplikacie-sme-sk-pre-ios?gref=strm_art-6662272&photo=p3117550,www.sme.sk,True,False,0,17,True,8
https://www.vitalia.cz/clanky/syrove-brambory-leci-zelene-jsou-jedovate/?ic=articles-related&icc=item-1,www.vitalia.cz,False,False,0,5,True,85
https://fotky.sme.sk/fotka/71507/oslnenie,fotky.sme.sk,True,False,0,0,True,63
https://www.jenzeny.cz/redaktorky/1356,www.jenzeny.cz,False,False,1,0,True,36
https://www.kafe.cz/moda/koho-promenime-vyberte-podle-pribehu-a-fotek-4066.html,www.kafe.cz,False,False,0,5,True,39
https://www.lifee.cz/trendy/sportem-ku-zdravi-joga-vas-muze-zbavit-chronickych-bolesti-zad_65842.html,www.lifee.cz,False,False,0,50,True,52
https://www.modernibyt.cz/rubriky/exterier/zabydlete-se-na-cerstvem-vzduchu_5497.html,www.modernibyt.cz,False,True,37,14,True,40
http://www.fotografovani.cz/cz/photo-contest/gallery/1566/,www.fotografovani.cz,True,False,0,0,True,71
https://lepsija.cz/domaci-mazlicci/page/2/,lepsija.cz,False,False,40,0,True,81
https://www.extra.cz/plackova-kerndlova-i-mares-jak-se-hvezdy-vyparadily-na-halloween,www.extra.cz,False,False,0,44,True,74
https://www.frekvence1.cz/tag/japonec-na-konec,www.frekvence1.cz,False,False,28,1,True,108
https://www.blesk.cz/clanek/celebrity-karlovy-vary/611711/dlouha-noc-sportacky-novy-puhajkove-nad-ranem-ji-vlaceli-do-taxiku.html,www.blesk.cz,False,False,0,352,True,394
https://www.reflex.cz/clanek/volby/94386/online-remiza-velkych-stran-znamena-vitezstvi-pro-netanjahua-zrejme-bude-popate-premierem-izraele.html,www.reflex.cz,False,False,0,13,True,102
https://www.sport.cz/fotbal/ceska-1-liga/clanek/1112106-jednou-se-k-fotbalu-vratim-slibil-koncici-skacel-s-dvojcaty-v-naruci.html,www.sport.cz,False,False,10,0,True,80
https://prozeny.blesk.cz/clanek/pro-zeny-vip-rozhovory/593661/andrea-pomeje-doufam-ze-dceru-pred-jirkovymi-dluhy-ochranim.html,prozeny.blesk.cz,False,False,0,7,True,54
https://www.televizeseznam.cz/video/jak-na-to/prekvapive-univerzalni-cistidlo-zubni-pasta-52879035?zobraz=nabidku,www.televizeseznam.cz,True,False,0,0,True,161
https://emefka.sk/otestuj-sa-ako-dobre-poznas-slovenske-narecove-slova/,emefka.sk,False,False,82,5,True,231
https://www.fashionmagazin.cz/9-letnich-kousku-asos/,www.fashionmagazin.cz,False,False,48,2,True,93
https://videacesky.cz/video/vox-solarni-energie-celi-problemu-kachni-krivky,videacesky.cz,True,False,0,0,True,98
https://www.recepty.cz/recept/tradicni-italske-lasagne-3067,www.recepty.cz,False,False,0,8,True,541
https://shop.emefka.sk/sk/emefka/?lang=romanian,shop.emefka.sk,False,False,0,9,True,54
https://www.sme.sk/g/131524/sme-sk-pre-android-telefony-a-tablety?gref=strm_art-6662272,www.sme.sk,True,False,0,15,True,8
https://www.vitalia.cz/clanky/syrove-brambory-leci-zelene-jsou-jedovate/,www.vitalia.cz,False,False,0,5,True,85
https://fotky.sme.sk/fotka/47629/snehova-kralovna,fotky.sme.sk,True,False,0,0,True,62
https://www.jenzeny.cz/redaktorky/678,www.jenzeny.cz,False,False,1,0,True,36
https://www.kafe.cz/moda/koho-promenime-vyberte-podle-pribehu-a-fotek-3652.html,www.kafe.cz,False,False,0,5,True,39
https://www.lifee.cz/jidlo/jak-nacit-kokos-a-nakrajet-cibuli-bez-plakani-7-tipu-jak-porcovat-ovoce-a-zeleninu-jako-sefkuchar_373.html,www.lifee.cz,False,False,0,49,True,46
https://www.modernibyt.cz/rubriky/navstevy/bydleni-s-evropskymi-koreny-na-tchaj-wanu_4079.html,www.modernibyt.cz,False,True,28,9,True,34
http://www.fotografovani.cz/cz/photo-contest/gallery/1618/,www.fotografovani.cz,True,False,0,0,True,71
https://lepsija.cz/domaci-mazlicci/page/3/,lepsija.cz,False,False,40,0,True,81
https://www.extra.cz/tanecnici-a-tanecnice-stardance-co-jste-nevedeli-o-partnerech-hvezd-na-parketu,www.extra.cz,False,False,0,44,True,74
https://www.frekvence1.cz/tag/vola-petr-jablonsky,www.frekvence1.cz,False,False,28,1,True,108
https://www.blesk.cz/clanek/celebrity-karlovy-vary/611585/znechuceny-jiri-machacek-politici-nemaji-ve-varech-co-delat.html,www.blesk.cz,False,False,0,332,True,368
https://www.reflex.cz/volby-online-senat-druhe-kolo-2018,www.reflex.cz,False,False,0,8,True,102
https://www.sport.cz/hokej/extraliga/clanek/1093599-pardubice-v-kladne-otocily-skore-chomutov-vyhral-v-budejovicich.html,www.sport.cz,False,False,11,0,True,80
https://prozeny.blesk.cz/clanek/pro-zeny-trendy-krasa/588207/ofiny-budou-letos-v-kurzu-jaka-se-k-vam-hodi-a-na-jakou-radeji-zapomente.html,prozeny.blesk.cz,False,False,0,7,True,54
https://www.televizeseznam.cz/video/jb-talk/andrej-babis-je-dobry-premier-kdyz-nebude-mit-evropa-zajem-o-spolupraci-cina-se-obrati-jinam-usa-na-evropu-kasle-regulace-socialnich-siti-vede-k-cenzure-rika-jiri-paroubek-63933891?zobraz=nabidku,www.televizeseznam.cz,True,False,0,0,True,161
https://emefka.sk/,emefka.sk,False,False,94,5,True,224
https://www.fashionmagazin.cz/converse-made-by-you-kampan-2015/,www.fashionmagazin.cz,False,False,19,2,True,91
https://videacesky.cz/video/co-kdyby-vas-prastil-superman,videacesky.cz,True,False,0,0,True,97
https://www.recepty.cz/recept/zrave-rezy-7079,www.recepty.cz,False,False,0,1,True,528
https://shop.emefka.sk/sk/emefka/,shop.emefka.sk,False,False,0,9,True,54
https://www.sme.sk/g/84512/nove-funkcie-aplikacie-sme-sk-pre-ios?gref=strm_art-6956124&photo=p3117550,www.sme.sk,True,False,0,17,True,8
https://www.vitalia.cz/clanky/syrove-brambory-leci-zelene-jsou-jedovate/?ic=articles-related&icc=item-3,www.vitalia.cz,False,False,0,5,True,85
https://fotky.sme.sk/fotka/90649/independence-day,fotky.sme.sk,True,False,0,0,True,60
https://www.jenzeny.cz/redaktorky/679,www.jenzeny.cz,False,False,1,0,True,36
https://www.kafe.cz/celebrity/strasak-jmenem-dusevni-porucha-celebrity-ktere-si-prozily-osobni-peklo-20190606.html,www.kafe.cz,False,False,0,19,True,37
https://www.lifee.cz/jidlo/chystate-svatbu-inspirujte-se-originalnim-menu-ivanka-a-nastenky-z-legendarni-pohadky_68377.html,www.lifee.cz,False,False,0,44,True,46
https://www.modernibyt.cz/rubriky/navstevy/spanelsky-byt-s-gaudim-v-zadech_5509.html,www.modernibyt.cz,False,True,28,9,True,34
http://www.fotografovani.cz/cz/photo-contest/gallery/269/,www.fotografovani.cz,True,False,0,0,True,71
https://lepsija.cz/posts/page/3/,lepsija.cz,False,False,40,0,True,81
https://www.extra.cz/vanoce-bez-plekance-takhle-slavila-safarova-nazdobenymi-stromky-se-chlubi-i-dalsi-celebrity,www.extra.cz,False,False,0,44,True,74
https://www.frekvence1.cz/tag/tipy-f1-pro-chytre-rodice,www.frekvence1.cz,False,False,28,1,True,108
https://www.blesk.cz/clanek/celebrity-serialy-filmy-kino-a-tv/572095/sok-ve-stardance-soutez-opustila-kraska-bagarova-dosla-slova.html,www.blesk.cz,False,False,0,308,True,351
https://www.reflex.cz/clanek/volby/94772/online-prenos-ze-spanelskych-voleb-vyhrali-socialiste-do-vlady-vsak-potrebuji-separatisty.html,www.reflex.cz,False,False,0,8,True,86
https://www.sport.cz/fotbal/ostatni/clanek/1120968-proklety-messi-je-zase-bez-trofeje-fanousci-brazilie-si-uzivali-potupu-rivala.html,www.sport.cz,False,False,7,0,True,79
https://prozeny.blesk.cz/clanek/pro-zeny-trendy-krasa/528270/make-up-trendy-pro-jaro-lila-stiny-tmava-rtenka-a-cervene-rty-i-vicka.html,prozeny.blesk.cz,False,False,0,7,True,53
https://www.televizeseznam.cz/video/na-hadry/frejova-se-opaluje-rada-naha-peckova-ma-doma-slepici-a-jiresova-nezna-fkk-63930457?zobraz=nabidku,www.televizeseznam.cz,True,False,0,0,True,161
https://emefka.sk/back-to-the-memes-velke-zhrnutie-mesiaca-februar/,emefka.sk,False,False,90,5,True,219
https://www.fashionmagazin.cz/inspirace-letni-damska-moda/,www.fashionmagazin.cz,False,False,68,2,True,90
https://videacesky.cz/video/miss-america,videacesky.cz,True,False,0,0,True,96
https://www.recepty.cz/recept/cinske-placicky-2184,www.recepty.cz,False,False,0,1,True,526
https://shop.emefka.sk/sk/emefka/?lang=english,shop.emefka.sk,False,False,0,9,True,54
https://www.sme.sk/g/84512/nove-funkcie-aplikacie-sme-sk-pre-ios?gref=strm_art-6956124&photo=p3117546,www.sme.sk,True,False,0,17,True,8
https://www.vitalia.cz/clanky/jezme-cerstve-7-zdravych-potravin-ktere-u-nas-rostou/?ic=articles-related&icc=item-8,www.vitalia.cz,False,False,0,20,True,84
https://fotky.sme.sk/fotka/101922/lesofka-sunsetofka,fotky.sme.sk,True,False,0,0,True,59
https://www.jenzeny.cz/redaktorky/675,www.jenzeny.cz,False,False,1,0,True,36
https://www.kafe.cz/zabava/nejlepsi-vanocni-filmy-ktere-si-nenechte-ujit-ani-letos-6457.html,www.kafe.cz,False,False,0,19,True,37
